Date,Business Purpose,From,To,Miles,Category,Rate,Amount At Rate,Parking,Tolls,Vehicle,Notes
2025-06-29,Business,"1115 Randolph St, Thomasville, NC, 27360, United States","910 S Holden Rd, Greensboro, NC, Hewitt Area, 27407, United States",21.7,Business,0.7,15.19,0.0,0.0,🐎,Start: 16:07 · MileIQ
2025-06-29,Business,"1300 S Holden Rd, Greensboro, NC, Hunter Hills, 27407, United States","1101 NC-61, Whitsett, NC, 27377, United States",18.7,Business,0.7,13.09,0.0,0.0,🐎,Start: 17:38 · MileIQ
2025-06-29,Business,"138 I-85, Burlington, NC, 27215, United States","208 Exchange Pl, Greensboro, NC, Downtown, 27401, United States",14.1,Business,0.7,9.87,0.0,0.0,🐎,Start: 19:12 · MileIQ
2025-06-29,Business,"224 W McGee St, Greensboro, NC, Downtown, 27401, United States","3103 Alder Way, Greensboro, NC, Holden Farms, 27407, United States",5.2,Business,0.7,3.64,0.0,0.0,🐎,Start: 20:48 · MileIQ
2025-06-29,Business,"3103 Alder Way, Greensboro, NC, Holden Farms, 27407, United States",home/office,34.1,Business,0.7,23.87,0.0,0.0,🐎,Start: 21:07 · MileIQ
2025-06-30,Business,"1133 W 3rd St, Siler City, NC, 27344, United States",home/office,6.4,Business,0.7,4.48,0.0,0.0,🐎,Start: 14:18 · MileIQ
2025-07-02,Business,"53 John Emerson Rd, Siler City, NC, 27344, United States","1605 E 11th St, Siler City, NC, 27344, United States",3.9,Business,0.7,2.73,0.0,0.0,🐎,Start: 15:56 · MileIQ
2025-07-02,Business,"1605 E 11th St, Siler City, NC, 27344, United States",home/office,5.4,Business,0.7,3.78,0.0,0.0,🐎,Start: 16:12 · MileIQ
2025-07-03,Business,"53 John Emerson Rd, Siler City, NC, 27344, United States","8605 Triad Dr, Greensboro, NC, Colfax, 27235, United States",47.6,Business,0.7,33.32,0.0,0.0,🐎,Start: 13:53 · MileIQ
2025-07-03,Business,"8841 Neville Rd, Greensboro, NC, Colfax, 27235, United States","4519 W Market St, Greensboro, NC, 27407, United States",64.9,Business,0.7,45.43,0.0,0.0,🐎,Start: 15:01 · MileIQ
2025-07-03,Business,"4519 W Market St, Greensboro, NC, 27407, United States",home/office,43.4,Business,0.7,30.38,0.0,0.0,🐎,Start: 17:23 · MileIQ
2025-07-06,Meeting,"2200 W 3rd St, Siler City, NC, 27344, United States","3101 Alder Way, Greensboro, NC, Holden Farms, 27407, United States",35.0,Business,0.7,24.5,0.0,0.0,🐎,Start: 09:05 · MileIQ
2025-07-06,solicitation,"3103 Alder Way, Greensboro, NC, Holden Farms, 27407, United States","4519 W Market St, Greensboro, NC, Starmount Forest, 27407, United States",4.4,Business,0.7,3.08,0.0,0.0,🐎,Start: 10:53 · MileIQ
2025-07-06,solicitation,"4513 W Market St, Greensboro, NC, 27407, United States","3021 Spring Garden St, Greensboro, NC, Hewitt Area, 27403, United States",1.3,Business,0.7,0.91,0.0,0.0,🐎,Start: 12:02 · MileIQ
2025-07-06,Business,"910 S Holden Rd, Greensboro, NC, Hewitt Area, 27407, United States","916 Meade Dr, Greensboro, NC, Hamilton Hills, 27410, United States",9.9,Business,0.7,6.93,0.0,0.0,🐎,Start: 13:18 · MileIQ
2025-07-06,Business,"916 Meade Dr, Greensboro, NC, Hamilton Hills, 27410, United States","1101 NC-61, Whitsett, NC, 27377, United States",27.0,Business,0.7,18.9,0.0,0.0,🐎,Start: 15:01 · MileIQ
2025-07-06,vehicle maintenance,"1101 NC-61, Whitsett, NC, 27377, United States","910 S Holden Rd, Greensboro, NC, Hewitt Area, 27407, United States",17.9,Business,0.7,12.53,0.0,0.0,🐎,Start: 16:33 · MileIQ
2025-07-06,vehicle maintenance,"910 S Holden Rd, Greensboro, NC, Hewitt Area, 27407, United States",home/office,36.2,Business,0.7,25.34,0.0,0.0,🐎,Start: 18:17 · MileIQ
2025-07-07,Business,"146 Headen Rd, Siler City, NC, 27344, United States","3609 Millennium Dr, Greensboro, NC, 27455, United States",43.1,Business,0.7,30.17,0.0,0.0,🐎,Start: 10:42 · MileIQ
2025-07-07,Business,"3617 Millennium Dr, Greensboro, NC, 27455, United States","1101 NC-61, Whitsett, NC, 27377, United States",23.9,Business,0.7,16.73,0.0,0.0,🐎,Start: 12:20 · MileIQ
2025-07-07,Business,"1101 NC-61, Whitsett, NC, 27377, United States","8567 Linwood-Southmont Rd, Lexington, NC, 27292, United States",54.6,Business,0.7,38.22,0.0,0.0,🐎,Start: 14:39 · MileIQ
2025-07-07,Business,"8567 Linwood-Southmont Rd, Lexington, NC, 27292, United States",home/office,62.8,Business,0.7,43.96,0.0,0.0,🐎,Start: 17:12 · MileIQ
2025-07-09,Business,"2200 W 3rd St, Siler City, NC, 27344, United States","8567 Linwood-Southmont Rd, Lexington, NC, 27292, United States",62.3,Business,0.7,43.61,0.0,0.0,🐎,Start: 08:19 · MileIQ
2025-07-09,Business,"6617 Linwood-Southmont Rd, Lexington, NC, 27292, United States","1309 S Main St, Lexington, NC, 27292, United States",8.4,Business,0.7,5.88,0.0,0.0,🐎,Start: 12:41 · MileIQ
2025-07-09,Business,"1309 S Main St, Lexington, NC, 27292, United States","722 Lake Forest Dr, New London, NC, 28127, United States",30.4,Business,0.7,21.28,0.0,0.0,🐎,Start: 13:19 · MileIQ
2025-07-09,Business,"722 Lake Forest Dr, New London, NC, 28127, United States","8567 Linwood-Southmont Rd, Lexington, NC, 27292, United States",23.8,Business,0.7,16.66,0.0,0.0,🐎,Start: 15:37 · MileIQ
2025-07-09,Business,"8567 Linwood-Southmont Rd, Lexington, NC, 27292, United States","2371 Vienna Dozier Rd, Lewisville, NC, Pfafftown, 27040, United States",60.1,Business,0.7,42.07,0.0,0.0,🐎,Start: 16:34 · MileIQ
2025-07-09,Business,"2371 Vienna Dozier Rd, Lewisville, NC, Pfafftown, 27040, United States",home/office,75.2,Business,0.7,52.64,0.0,0.0,🐎,Start: 21:04 · MileIQ
2025-07-10,Business,"53 John Emerson Rd, Siler City, NC, 27344, United States",home/office,5.6,Business,0.7,3.92,0.0,0.0,🐎,Start: 22:31 · MileIQ
2025-07-11,Business,"1563 W 3rd St, Siler City, NC, 27344, United States","3007 Executive Dr, Greensboro, NC, 27406, United States",39.0,Business,0.7,27.3,0.0,0.0,🐎,Start: 11:17 · MileIQ
2025-07-11,Business,"3009 Executive Dr, Greensboro, NC, 27406, United States","3202 Sandy Ridge Rd, Greensboro, NC, Colfax, 27235, United States",13.6,Business,0.7,9.52,0.0,0.0,🐎,Start: 13:10 · MileIQ
2025-07-11,Business,"2914 Sandy Ridge Rd, Greensboro, NC, Colfax, 27235, United States","Greensboro, NC, 27407, United States",9.3,Business,0.7,6.51,0.0,0.0,🐎,Start: 13:42 · MileIQ
2025-07-11,Business,"3001 Harnett Dr, Greensboro, NC, 27407, United States","916 Meade Dr, Greensboro, NC, Hamilton Hills, 27410, United States",9.0,Business,0.7,6.3,0.0,0.0,🐎,Start: 14:10 · MileIQ
2025-07-11,Business,"1000 Meade Dr, Greensboro, NC, Hamilton Hills, 27410, United States","5803 Hunt Club Rd, Greensboro, NC, 27410, United States",1.6,Business,0.7,1.12,0.0,0.0,🐎,Start: 17:32 · MileIQ
2025-07-11,Business,"5803 Hunt Club Rd, Greensboro, NC, 27410, United States",home/office,46.9,Business,0.7,32.83,0.0,0.0,🐎,Start: 18:12 · MileIQ
2025-07-12,solicitation,"146 Headen Rd, Siler City, NC, 27344, United States","8567 Linwood-Southmont Rd, Lexington, NC, 27292, United States",55.3,Business,0.7,38.71,0.0,0.0,🐎,Start: 12:03 · MileIQ
2025-07-12,solicitation,"8567 Linwood-Southmont Rd, Lexington, NC, 27292, United States","3103 Alder Way, Greensboro, NC, Holden Farms, 27407, United States",38.5,Business,0.7,26.95,0.0,0.0,🐎,Start: 14:25 · MileIQ
2025-07-12,Meeting,"3110 Darden Rd, Greensboro, NC, Holden Farms, 27407, United States","3812 Amber Way Cir SW, Roanoke, VA, 24018, United States",115.4,Business,0.7,80.78,0.0,0.0,🐎,Start: 15:11 · MileIQ
2025-07-13,Errand/Supplies,"4320 Grandin Rd, Roanoke, VA, 24018, United States",home/office,140.2,Business,0.7,98.14,0.0,0.0,🐎,Start: 13:46 · MileIQ
2025-07-13,Customer Visit,"146 Headen Rd, Siler City, NC, 27344, United States","910 S Holden Rd, Greensboro, NC, Hewitt Area, 27407, United States",35.7,Business,0.7,24.99,0.0,0.0,🐎,Start: 16:32 · MileIQ
2025-07-13,solicitation,"910 S Holden Rd, Greensboro, NC, Hewitt Area, 27407, United States","3107 Alder Way, Greensboro, NC, Holden Farms, 27407, United States",3.0,Business,0.7,2.1,0.0,0.0,🐎,Start: 19:59 · MileIQ
2025-07-13,solicitation,"3205 Alder Way, Greensboro, NC, Holden Farms, 27407, United States","1101 NC-61, Whitsett, NC, 27377, United States",18.0,Business,0.7,12.6,0.0,0.0,🐎,Start: 20:12 · MileIQ
2025-07-13,Errand/Supplies,"814 NC-61, Whitsett, NC, 27377, United States","903 Apple St, Gibsonville, NC, 27249, United States",4.9,Business,0.7,3.43,0.0,0.0,🐎,Start: 22:48 · MileIQ
2025-07-13,solicitation,"903 Apple St, Gibsonville, NC, 27249, United States","110 W Haggard Ave, Elon, NC, 27244, United States",2.3,Business,0.7,1.61,0.0,0.0,🐎,Start: 23:23 · MileIQ
2025-07-13,solicitation,"800 W Haggard Ave, Elon, NC, 27244, United States","901 Apple St, Gibsonville, NC, 27249, United States",1.7,Business,0.7,1.19,0.0,0.0,🐎,Start: 23:36 · MileIQ
2025-07-14,Business,"5009 Pheasant Dr, Greensboro, NC, Pleasant Garden, 27406, United States",home/office,25.9,Business,0.7,18.13,0.0,0.0,🐎,Start: 00:36 · MileIQ
2025-07-14,Business,"53 John Emerson Rd, Siler City, NC, 27344, United States","619 Dolley Madison Rd, Greensboro, NC, 27410, United States",50.2,Business,0.7,35.14,0.0,0.0,🐎,Start: 13:21 · MileIQ
2025-07-14,Business,"808 George White Rd, Greensboro, NC, 27410, United States","7340 W Friendly Ave, Greensboro, NC, 27410, United States",2.5,Business,0.7,1.75,0.0,0.0,🐎,Start: 14:13 · MileIQ
2025-07-14,Business,"7203 W Friendly Ave, Greensboro, NC, 27409, United States","8567 Linwood-Southmont Rd, Lexington, NC, 27292, United States",46.0,Business,0.7,32.2,0.0,0.0,🐎,Start: 14:26 · MileIQ
2025-07-14,Business,"8990 Linwood-Southmont Rd, Lexington, NC, 27292, United States","722 Lake Forest Dr, New London, NC, 28127, United States",23.5,Business,0.7,16.45,0.0,0.0,🐎,Start: 15:58 · MileIQ
2025-07-14,Business,"722 Lake Forest Dr, New London, NC, 28127, United States","367 Queens Way, Randleman, NC, 27317, United States",39.6,Business,0.7,27.72,0.0,0.0,🐎,Start: 18:27 · MileIQ
2025-07-14,Errand/Supplies,"489 Salem St, Randleman, NC, 27317, United States",home/office,26.4,Business,0.7,18.48,0.0,0.0,🐎,Start: 23:48 · MileIQ
2025-07-15,Business,"53 John Emerson Rd, Siler City, NC, 27344, United States","1601 Wiley Lewis Rd, Greensboro, NC, 27406, United States",31.7,Business,0.7,22.19,0.0,0.0,🐎,Start: 11:50 · MileIQ
2025-07-15,Business,"1601 Wiley Lewis Rd, Greensboro, NC, 27406, United States","1601 Wiley Lewis Rd, Greensboro, NC, 27406, United States",2.1,Business,0.7,1.47,0.0,0.0,🐎,Start: 12:54 · MileIQ
2025-07-15,Business,"1651 Alamance Church Rd, Greensboro, NC, 27406, United States","150 Walmart Supercenter, Siler City, NC, 27344, United States",29.5,Business,0.7,20.65,0.0,0.0,🐎,Start: 13:38 · MileIQ
2025-07-15,Business,"35 Pearleman Teague Rd, Siler City, NC, 27344, United States",home/office,4.4,Business,0.7,3.08,0.0,0.0,🐎,Start: 14:28 · MileIQ
2025-07-17,Business,"1548 W 3rd St, Siler City, NC, 27344, United States","14215 US-64, Siler City, NC, 27344, United States",7.2,Business,0.7,5.04,0.0,0.0,🐎,Start: 10:03 · MileIQ
2025-07-17,Business,"399 Walmart Supercenter, Siler City, NC, 27344, United States","14629 US-64, Siler City, NC, 27344, United States",1.4,Business,0.7,0.98,0.0,0.0,🐎,Start: 10:37 · MileIQ
2025-07-17,Business,"1609 E 11th St, Siler City, NC, 27344, United States",home/office,5.4,Business,0.7,3.78,0.0,0.0,🐎,Start: 10:52 · MileIQ
2025-07-17,Business,"53 John Emerson Rd, Siler City, NC, 27344, United States","903 Apple St, Gibsonville, NC, 27249, United States",44.5,Business,0.7,31.15,0.0,0.0,🐎,Start: 13:10 · MileIQ
2025-07-17,Business,"500 Whitesell St, Gibsonville, NC, 27249, United States","916 Meade Dr, Greensboro, NC, Hamilton Hills, 27410, United States",28.4,Business,0.7,19.88,0.0,0.0,🐎,Start: 14:29 · MileIQ
2025-07-17,Business,"4801 Tara Dr, Greensboro, NC, Hamilton Hills, 27410, United States",home/office,42.6,Business,0.7,29.82,0.0,0.0,🐎,Start: 17:59 · MileIQ
2025-07-17,Business,"53 John Emerson Rd, Siler City, NC, 27344, United States","600 W Raleigh St, Siler City, NC, 27344, United States",1.5,Business,0.7,1.05,0.0,0.0,🐎,Start: 19:50 · MileIQ
2025-07-17,Business,"204 W 2nd St, Siler City, NC, 27344, United States",home/office,6.3,Business,0.7,4.41,0.0,0.0,🐎,Start: 19:58 · MileIQ
2025-07-18,Business,"53 John Emerson Rd, Siler City, NC, 27344, United States","1601 Wiley Lewis Rd, Greensboro, NC, 27406, United States",35.5,Business,0.7,24.85,0.0,0.0,🐎,Start: 10:47 · MileIQ
2025-07-18,Business,"1601 Wiley Lewis Rd, Greensboro, NC, 27406, United States","1036 Randolph St, Thomasville, NC, 27360, United States",25.4,Business,0.7,17.78,0.0,0.0,🐎,Start: 12:05 · MileIQ
2025-07-18,Business,"1036 Randolph St, Thomasville, NC, 27360, United States","367 Queens Way, Randleman, NC, 27317, United States",22.8,Business,0.7,15.96,0.0,0.0,🐎,Start: 13:07 · MileIQ
2025-07-18,Business,"4748 Old Greensboro Rd, Randleman, NC, 27317, United States",home/office,26.7,Business,0.7,18.69,0.0,0.0,🐎,Start: 14:29 · MileIQ
2025-07-18,Business,"1754 W 3rd St, Siler City, NC, 27344, United States","915 N 2nd Ave, Siler City, NC, 27344, United States",2.0,Business,0.7,1.4,0.0,0.0,🐎,Start: 17:40 · MileIQ
2025-07-18,Business,"915 N 2nd Ave, Siler City, NC, 27344, United States",home/office,6.8,Business,0.7,4.76,0.0,0.0,🐎,Start: 20:08 · MileIQ
2025-07-19,Errand/Supplies,"2200 W 3rd St, Siler City, NC, 27344, United States",home/office,15.9,Business,0.7,11.13,0.0,0.0,🐎,Start: 10:18 · MileIQ
2025-07-19,Meeting,"53 John Emerson Rd, Siler City, NC, 27344, United States","3812 Amber Way Cir SW, Roanoke, VA, 24018, United States",142.1,Business,0.7,99.47,0.0,0.0,🐎,Start: 10:39 · MileIQ
2025-07-20,Meeting,"4432 Grandin Rd SW, Cave Spring, VA, 24018, United States",home/office,148.9,Business,0.7,104.23,0.0,0.0,🐎,Start: 07:50 · MileIQ
2025-07-20,Meeting,home/office,"900 S Holden Rd, Greensboro, NC, Hewitt Area, 27407, United States",40.1,Business,0.7,28.07,0.0,0.0,🐎,Start: 16:10 · MileIQ
2025-07-20,solicitation,"910 S Holden Rd, Greensboro, NC, Hewitt Area, 27407, United States","202 Exchange Pl, Greensboro, NC, Downtown, 27401, United States",3.9,Business,0.7,2.73,0.0,0.0,🐎,Start: 20:17 · MileIQ
2025-07-20,solicitation,"316 S Greene St, Greensboro, NC, Downtown, 27401, United States","3709 Yanceyville St, Greensboro, NC, 27405, United States",37.3,Business,0.7,26.11,0.0,0.0,🐎,Start: 21:04 · MileIQ
2025-07-20,vehicle maintenance,"3826 Yanceyville St, Greensboro, NC, 27405, United States","101 N Main St, High Point, NC, 27262, United States",22.5,Business,0.7,15.75,0.0,0.0,🐎,Start: 22:20 · MileIQ
2025-07-20,Business,"1325 N Main St, High Point, NC, 27262, United States",home/office,75.0,Business,0.7,52.5,0.0,0.0,🐎,Start: 23:32 · MileIQ
2025-07-22,Business,"53 John Emerson Rd, Siler City, NC, 27344, United States",home/office,21.4,Business,0.7,14.98,0.0,0.0,🐎,Start: 14:56 · MileIQ
2025-07-23,Business,"1754 W 3rd St, Siler City, NC, 27344, United States","722 Lake Forest Dr, New London, NC, 28127, United States",50.8,Business,0.7,35.56,0.0,0.0,🐎,Start: 08:54 · MileIQ
2025-07-23,Business,"828 Lake Forest Dr, New London, NC, 28127, United States","8567 Linwood-Southmont Rd, Lexington, NC, 27292, United States",23.7,Business,0.7,16.59,0.0,0.0,🐎,Start: 13:32 · MileIQ
2025-07-23,Business,"6617 Linwood-Southmont Rd, Lexington, NC, 27292, United States","1240 E 11th St, Siler City, NC, 27344, United States",57.3,Business,0.7,40.11,0.0,0.0,🐎,Start: 14:32 · MileIQ
2025-07-23,Business,"1401 E 11th St, Siler City, NC, 27344, United States","915 N 2nd Ave, Siler City, NC, 27344, United States",1.8,Business,0.7,1.26,0.0,0.0,🐎,Start: 15:52 · MileIQ
2025-07-23,Business,"915 N 2nd Ave, Siler City, NC, 27344, United States","107 Food Lion Plaza, Siler City, NC, 27344, United States",1.8,Business,0.7,1.26,0.0,0.0,🐎,Start: 16:34 · MileIQ
2025-07-23,Business,"1401 E 11th St, Siler City, NC, 27344, United States",home/office,2.6,Business,0.7,1.82,0.0,0.0,🐎,Start: 16:47 · MileIQ
2025-07-24,Business,home/office,home/office,2.3,Business,0.7,1.61,0.0,0.0,🐎,Start: 14:16 · MileIQ
2025-07-24,Business,"1140 W 3rd St, Siler City, NC, 27344, United States",home/office,5.5,Business,0.7,3.85,0.0,0.0,🐎,Start: 20:56 · MileIQ
2025-07-25,Business,home/office,"776 W Dixie Dr, Asheboro, NC, 27205, United States",31.0,Business,0.7,21.7,0.0,0.0,🐎,Start: 08:38 · MileIQ
2025-07-25,Business,"990 W Dixie Dr, Asheboro, NC, 27205, United States","722 Lake Forest Dr, New London, NC, 28127, United States",26.0,Business,0.7,18.2,0.0,0.0,🐎,Start: 11:03 · MileIQ
2025-07-25,Business,"555 Lake Forest Dr, New London, NC, 28127, United States","367 Queens Way, Randleman, NC, 27317, United States",68.3,Business,0.7,47.81,0.0,0.0,🐎,Start: 13:26 · MileIQ
2025-07-25,Business,"367 Queens Way, Randleman, NC, 27317, United States","620 W Academy St, Randleman, NC, 27317, United States",3.9,Business,0.7,2.73,0.0,0.0,🐎,Start: 15:52 · MileIQ
2025-07-25,Business,"620 W Academy St, Randleman, NC, 27317, United States","367 Queens Way, Randleman, NC, 27317, United States",3.9,Business,0.7,2.73,0.0,0.0,🐎,Start: 16:04 · MileIQ
2025-07-26,solicitation,"7034 Jordan Rd, Ramseur, NC, 27316, United States",home/office,9.5,Business,0.7,6.65,0.0,0.0,🐎,Start: 14:18 · MileIQ
2025-07-26,solicitation,"53 John Emerson Rd, Siler City, NC, 27344, United States","910 S Holden Rd, Greensboro, NC, Hewitt Area, 27407, United States",37.3,Business,0.7,26.11,0.0,0.0,🐎,Start: 16:03 · MileIQ
2025-07-26,Customer Visit,"1201 S Holden Rd, Greensboro, NC, Hunter Hills, 27407, United States","915 N 2nd Ave, Siler City, NC, 27344, United States",34.7,Business,0.7,24.29,0.0,0.0,🐎,Start: 19:03 · MileIQ
2025-07-26,Meeting,"2200 W 3rd St, Siler City, NC, 27344, United States","367 Queens Way, Randleman, NC, 27317, United States",27.8,Business,0.7,19.46,0.0,0.0,🐎,Start: 21:59 · MileIQ
2025-07-27,Meal/Entertain,"5009 Old Greensboro Rd, Randleman, NC, 27317, United States","910 S Holden Rd, Greensboro, NC, Hewitt Area, 27407, United States",17.7,Business,0.7,12.39,0.0,0.0,🐎,Start: 16:27 · MileIQ
2025-07-27,Customer Visit,"910 S Holden Rd, Greensboro, NC, Hewitt Area, 27407, United States","1101 NC-61, Whitsett, NC, 27377, United States",18.1,Business,0.7,12.67,0.0,0.0,🐎,Start: 20:00 · MileIQ
2025-07-27,Errand/Supplies,"814 NC-61, Whitsett, NC, 27377, United States","903 Apple St, Gibsonville, NC, 27249, United States",4.8,Business,0.7,3.36,0.0,0.0,🐎,Start: 21:10 · MileIQ
2025-07-27,Errand/Supplies,"903 Apple St, Gibsonville, NC, 27249, United States",home/office,44.0,Business,0.7,30.8,0.0,0.0,🐎,Start: 23:39 · MileIQ
2025-07-28,Business,"146 Headen Rd, Siler City, NC, 27344, United States","367 Queens Way, Randleman, NC, 27317, United States",26.8,Business,0.7,18.76,0.0,0.0,🐎,Start: 18:44 · MileIQ
2025-07-28,Business,"367 Queens Way, Randleman, NC, 27317, United States","367 Queens Way, Randleman, NC, 27317, United States",10.9,Business,0.7,7.63,0.0,0.0,🐎,Start: 20:23 · MileIQ
2025-07-28,Business,"367 Queens Way, Randleman, NC, 27317, United States",home/office,25.2,Business,0.7,17.64,0.0,0.0,🐎,Start: 23:40 · MileIQ
2025-07-29,Business,"1548 W 3rd St, Siler City, NC, 27344, United States",home/office,5.3,Business,0.7,3.71,0.0,0.0,🐎,Start: 15:42 · MileIQ
2025-07-30,Business,"53 John Emerson Rd, Siler City, NC, 27344, United States","1426 E 11th St, Siler City, NC, 27344, United States",4.3,Business,0.7,3.01,0.0,0.0,🐎,Start: 13:08 · MileIQ
2025-07-30,Business,"1426 E 11th St, Siler City, NC, 27344, United States",home/office,4.3,Business,0.7,3.01,0.0,0.0,🐎,Start: 13:24 · MileIQ
2025-07-31,Business,"53 John Emerson Rd, Siler City, NC, 27344, United States","4005 Burlington Rd, Greensboro, NC, 27405, United States",40.0,Business,0.7,28.0,0.0,0.0,🐎,Start: 13:53 · MileIQ
